# Generated on: 2025-06-28T03:22:18.487Z
# Search Parameters: {"propertyValue":550000,"downPayment":20000,"loanAmount":530000,"creditScore":698,"propertyType":"single_family","occupancy":"primary","zipCode":"44121"}
# File Type: mortgage_rates

Lender,Rate,APR,Payment,Points,Upfront_Costs,Loan_Type,Quote_Type
Forward Lending,6.000%,6.937%,"$3,907.587",-0.06199999999999761,"$21,506.2",VA,Wholesale
Everstream Mortgage,6.000%,6.264%,"$3,270.092",0.10299999999999443,"$-2,301.5",VA,Wholesale
"VIP Mortgage, Inc.",6.000%,6.298%,"$3,270.092",-1.4860000000000042,$-414.4,VA,Wholesale
NexBank,6.000%,6.300%,"$3,270.092",-1.4079200000000043,$-288.5,VA,Wholesale
Pennymac TPO,6.000%,6.303%,"$3,270.092",-1.62,$-136.2,VA,Wholesale
Loan Factory Direct - PennyMac,6.000%,6.303%,"$3,270.092",-1.62,$-136.2,VA,Wholesale
Kind Lending,6.000%,6.338%,"$3,270.092",-0.99569,"$1,823.6",VA,Wholesale
Loan Factory Direct - Kind Lending,6.000%,6.338%,"$3,270.092",-0.99569,"$1,823.6",VA,Wholesale
JMAC Lending Inc.,6.000%,6.354%,"$3,270.092",-0.86235,"$2,687.1",VA,Wholesale
AFR Wholesale,6.000%,6.355%,"$3,270.092",-1.2639999999999958,"$2,754.5",VA,Wholesale
NewRez LLC,6.000%,6.376%,"$3,270.092",-1.246,"$3,905.4",VA,Wholesale
Sun West Mtg Co Wholesale,6.000%,6.411%,"$3,270.092",-0.14187,"$5,798.7",VA,Wholesale
HomeBridge Wholesale,6.000%,6.455%,"$3,270.092",-0.097,"$8,225.1",VA,Wholesale
TPO GO,6.000%,6.462%,"$3,270.092",-0.8349999999999937,"$8,563.3",VA,Wholesale
