# Generated on: 2025-06-27T22:26:37.051Z
# Search Parameters: {"propertyValue":650000,"downPayment":150000,"creditScore":750,"propertyType":"single_family","occupancy":"primary","zipCode":"44053"}
# File Type: mortgage_rates

Lender,Rate,APR,Payment,Points,Upfront_Costs,Loan_Type,Quote_Type
Kind Lending,5.750%,6.181%,"$4,156.202",-1.10965,"$13,637.1",Conventional,Wholesale
Loan Factory Direct - Kind Lending,5.750%,6.181%,"$4,156.202",-1.10965,"$13,637.1",Conventional,Wholesale
Eleven Mortgage,5.750%,6.196%,"$4,156.202",-0.145,"$14,090.8",Conventional,Wholesale
JMAC Lending Inc.,5.750%,6.208%,"$4,156.202",-1.14295,"$14,471.4",Conventional,Wholesale
NexBank,5.750%,6.210%,"$4,156.202",-1.2402100000000047,"$14,520.1",Conventional,Wholesale
Windsor Mortgage Solutions,5.750%,6.213%,"$4,156.202",-1.1090499999999963,"$14,641.1",Conventional,Wholesale
TPO GO,5.750%,6.221%,"$4,156.202",-0.8389999999999986,"$14,866.5",Conventional,Wholesale
Orion Lending,5.750%,6.236%,"$4,156.202",-1.122,"$15,327",Conventional,Wholesale
Union Home Mortgage,5.750%,6.287%,"$4,156.202",-0.659000000000006,"$16,893.6",Conventional,Wholesale
HomeBridge Wholesale,5.750%,6.309%,"$4,156.202",-0.52,"$17,589.3",Conventional,Wholesale
Sun West Mtg Co Wholesale,5.750%,6.504%,"$3,575.416",-0.48688,"$1,457.1",FHA,Wholesale
CMG Financial,5.750%,6.514%,"$3,575.416",-0.481,"$1,869",FHA,Wholesale
NewRez LLC,5.750%,6.535%,"$3,575.416",-0.582,"$2,663.4",FHA,Wholesale
Loan United Wholesale,5.750%,6.544%,"$3,575.416",-1.2789999999999964,"$3,025",FHA,Wholesale
Loan Factory Direct - PennyMac,5.750%,6.546%,"$3,575.416",-0.588,"$3,106.5",FHA,Wholesale
Pennymac TPO,5.750%,6.546%,"$3,575.416",-0.588,"$3,106.5",FHA,Wholesale
Eleven Mortgage,5.750%,6.553%,"$3,575.416",1.5298,"$3,349.9",FHA,Wholesale
HomeBridge Wholesale,5.750%,6.554%,"$3,575.416",-0.731,"$3,396.8",FHA,Wholesale
AFR Wholesale,5.750%,6.561%,"$3,575.416",-0.39054000000000144,"$3,694.4",FHA,Wholesale
AD Mortgage,5.750%,6.594%,"$3,575.416",-0.47400000000000375,"$4,960.2",FHA,Wholesale
NexBank,5.750%,6.597%,"$3,575.416",-0.4012699999999967,"$5,076",FHA,Wholesale
Rocket Pro,5.750%,6.608%,"$3,575.416",-0.1740000000000066,"$5,469.5",FHA,Wholesale
Kind Lending,5.750%,6.611%,"$3,575.416",-0.09775,"$5,603.1",FHA,Wholesale
Loan Factory Direct - Kind Lending,5.750%,6.611%,"$3,575.416",-0.09775,"$5,603.1",FHA,Wholesale
Open Mortgage,5.750%,6.615%,"$3,575.416",-0.395,"$5,744.4",FHA,Wholesale
Jet Advantage Mortgage,5.750%,6.637%,"$3,575.416",0.3719999999999999,"$6,594.9",FHA,Wholesale
Forward Lending,5.750%,6.637%,"$3,575.416",0.3719999999999999,"$6,594.9",FHA,Wholesale
"VIP Mortgage, Inc.",5.750%,6.647%,"$3,575.416",-0.16119000000000483,"$6,960.6",FHA,Wholesale
Plaza Home Mortgage Inc.,5.750%,6.694%,"$3,575.416",-0.05353,"$8,756.6",FHA,Wholesale
NewRez LLC,5.750%,6.211%,"$3,629.888",-0.592,"$2,343.6",VA,Wholesale
Loan United Wholesale,5.750%,6.218%,"$3,629.888",-1.1299999999999955,"$2,627.9",VA,Wholesale
Sun West Mtg Co Wholesale,5.750%,6.250%,"$3,629.888",-0.48688,"$3,884.9",VA,Wholesale
CMG Financial,5.750%,6.251%,"$3,629.888",-0.231,"$3,915.3",VA,Wholesale
Pennymac TPO,5.750%,6.256%,"$3,629.888",-0.55,"$4,127.3",VA,Wholesale
Loan Factory Direct - PennyMac,5.750%,6.256%,"$3,629.888",-0.55,"$4,127.3",VA,Wholesale
Eleven Mortgage,5.750%,6.260%,"$3,629.888",1.6534,"$4,300",VA,Wholesale
NexBank,5.750%,6.285%,"$3,629.888",-0.3695900000000023,"$5,266.9",VA,Wholesale
Loan Factory Direct - Rocket,5.750%,6.288%,"$3,629.888",-0.06999999999999318,"$5,394",VA,Wholesale
Rocket Pro,5.750%,6.288%,"$3,629.888",-0.06999999999999318,"$5,394",VA,Wholesale
Open Mortgage,5.750%,6.331%,"$3,629.888",-0.145,"$7,074.2",VA,Wholesale
Jet Advantage Mortgage,5.750%,6.350%,"$3,629.888",0.6020000000000039,"$7,834.2",VA,Wholesale
Forward Lending,5.750%,6.350%,"$3,629.888",0.6020000000000039,"$7,834.2",VA,Wholesale
Kind Lending,5.750%,6.355%,"$3,629.888",0.3147,"$8,029.2",VA,Wholesale
Loan Factory Direct - Kind Lending,5.750%,6.355%,"$3,629.888",0.3147,"$8,029.2",VA,Wholesale
The Loan Store LLC,5.750%,6.390%,"$3,629.888",0.25,"$9,374.9",VA,Wholesale
Plaza Home Mortgage Inc.,5.750%,6.391%,"$3,629.888",0.05647,"$9,408.5",VA,Wholesale
AFR Wholesale,5.750%,6.644%,"$3,629.888",2.4950000000000045,"$19,136.3",VA,Wholesale
Loan United Wholesale,5.750%,6.299%,"$2,971.891",-1.2789999999999964,$478.7,FHA,Wholesale
HomeBridge Wholesale,5.750%,6.306%,"$2,971.891",-0.731,$850.5,FHA,Wholesale
AmWest Funding Corp,5.750%,6.312%,"$2,971.891",-1.169,"$1,166.3",FHA,Wholesale
Sun West Mtg Co Wholesale,5.750%,6.318%,"$2,971.891",-0.48688,"$1,457.1",FHA,Wholesale
CMG Financial,5.750%,6.326%,"$2,971.891",-0.481,"$1,869",FHA,Wholesale
AFR Wholesale,5.750%,6.327%,"$2,971.891",-0.7360000000000042,"$1,935.2",FHA,Wholesale
AD Mortgage,5.750%,6.340%,"$2,971.891",-0.9339999999999975,"$2,617.6",FHA,Wholesale
NewRez LLC,5.750%,6.341%,"$2,971.891",-0.582,"$2,663.4",FHA,Wholesale
"National Mortgage Service, Inc. (NMSI)",5.750%,6.341%,"$2,971.891",-1,"$2,663.4",FHA,Wholesale
Loan Factory Direct - PennyMac,5.750%,6.350%,"$2,971.891",-0.588,"$3,106.5",FHA,Wholesale
Pennymac TPO,5.750%,6.350%,"$2,971.891",-0.588,"$3,106.5",FHA,Wholesale
Loan Factory Direct - Kind Lending,5.750%,6.350%,"$2,971.891",-0.58775,"$3,107.7",FHA,Wholesale
Kind Lending,5.750%,6.350%,"$2,971.891",-0.58775,"$3,107.7",FHA,Wholesale
Eleven Mortgage,5.750%,6.355%,"$2,971.891",1.5298,"$3,349.9",FHA,Wholesale
Jet Advantage Mortgage,5.750%,6.366%,"$2,971.891",-0.1530000000000058,"$3,921.3",FHA,Wholesale
Forward Lending,5.750%,6.366%,"$2,971.891",-0.1530000000000058,"$3,921.3",FHA,Wholesale
"VIP Mortgage, Inc.",5.750%,6.366%,"$2,971.891",-0.7519999999999953,"$3,951.9",FHA,Wholesale
NexBank,5.750%,6.368%,"$2,971.891",-0.6021400000000057,"$4,053.1",FHA,Wholesale
Open Mortgage,5.750%,6.377%,"$2,971.891",-0.645,"$4,471.3",FHA,Wholesale
Rocket Pro,5.750%,6.377%,"$2,971.891",-0.36700000000000443,"$4,486.6",FHA,Wholesale
TPO GO,5.750%,6.378%,"$2,971.891",-0.05299999999999727,"$4,557.9",FHA,Wholesale
New Wave Lending Group,5.750%,6.379%,"$2,971.891",-0.625,"$4,573.1",FHA,Wholesale
"Paramount Residential Mortgage Group, Inc.",5.750%,6.380%,"$2,971.891",-0.387,"$4,639.4",FHA,Wholesale
Orion Lending,5.750%,6.380%,"$2,971.891",0.138,"$4,639.4",FHA,Wholesale
Power TPO,5.750%,6.383%,"$2,971.891",-0.20999999999999375,"$4,776.9",FHA,Wholesale
The Loan Store LLC,5.750%,6.388%,"$2,971.891",-0.5859999999999985,"$5,026.4",FHA,Wholesale
JMAC Lending Inc.,5.750%,6.389%,"$2,971.891",-0.33145,"$5,113.3",FHA,Wholesale
Windsor Mortgage Solutions,5.750%,6.396%,"$2,971.891",-0.5768800000000027,"$5,454.8",FHA,Wholesale
Click n' Close,5.750%,6.405%,"$2,971.891",-0.35731,"$5,911",FHA,Wholesale
Plaza Home Mortgage Inc.,5.750%,6.411%,"$2,971.891",-0.05353,"$6,210.3",FHA,Wholesale
Union Home Mortgage,5.750%,6.515%,"$2,971.891",0.7489999999999952,"$11,443",FHA,Wholesale
NewRez LLC,5.750%,6.095%,"$3,017.168",-0.592,"$2,343.6",VA,Wholesale
Loan United Wholesale,5.750%,6.100%,"$3,017.168",-1.1299999999999955,"$2,627.9",VA,Wholesale
AmWest Funding Corp,5.750%,6.101%,"$3,017.168",-0.869,"$2,684.8",VA,Wholesale
"VIP Mortgage, Inc.",5.750%,6.105%,"$3,017.168",-0.8319999999999936,"$2,901.9",VA,Wholesale
AFR Wholesale,5.750%,6.114%,"$3,017.168",-0.5559999999999974,"$3,362.1",VA,Wholesale
Sun West Mtg Co Wholesale,5.750%,6.124%,"$3,017.168",-0.48688,"$3,884.9",VA,Wholesale
CMG Financial,5.750%,6.125%,"$3,017.168",-0.231,"$3,915.3",VA,Wholesale
Pennymac TPO,5.750%,6.129%,"$3,017.168",-0.55,"$4,127.3",VA,Wholesale
Loan Factory Direct - PennyMac,5.750%,6.129%,"$3,017.168",-0.55,"$4,127.3",VA,Wholesale
Eleven Mortgage,5.750%,6.132%,"$3,017.168",1.6534,"$4,300",VA,Wholesale
NexBank,5.750%,6.132%,"$3,017.168",-0.551879999999997,"$4,324.4",VA,Wholesale
"Paramount Residential Mortgage Group, Inc.",5.750%,6.133%,"$3,017.168",-0.449,"$4,339.2",VA,Wholesale
Jet Advantage Mortgage,5.750%,6.138%,"$3,017.168",-0.022999999999996135,"$4,602.9",VA,Wholesale
Forward Lending,5.750%,6.138%,"$3,017.168",-0.022999999999996135,"$4,602.9",VA,Wholesale
TPO GO,5.750%,6.142%,"$3,017.168",-0.0030000000000001137,"$4,835.6",VA,Wholesale
Loan Factory Direct - Rocket,5.750%,6.145%,"$3,017.168",-0.14499999999999602,"$5,006.2",VA,Wholesale
Rocket Pro,5.750%,6.145%,"$3,017.168",-0.14499999999999602,"$5,006.2",VA,Wholesale
Kind Lending,5.750%,6.153%,"$3,017.168",-0.1953,"$5,392.4",VA,Wholesale
Loan Factory Direct - Kind Lending,5.750%,6.153%,"$3,017.168",-0.1953,"$5,392.4",VA,Wholesale
Orion Lending,5.750%,6.156%,"$3,017.168",0.188,"$5,564.6",VA,Wholesale
Open Mortgage,5.750%,6.160%,"$3,017.168",-0.395,"$5,781.7",VA,Wholesale
The Loan Store LLC,5.750%,6.164%,"$3,017.168",-0.4069999999999965,"$5,978.1",VA,Wholesale
Click n' Close,5.750%,6.164%,"$3,017.168",-0.34559,"$6,011.3",VA,Wholesale
Windsor Mortgage Solutions,5.750%,6.167%,"$3,017.168",-0.1968700000000041,"$6,159.8",VA,Wholesale
Plaza Home Mortgage Inc.,5.750%,6.180%,"$3,017.168",0.05647,"$6,823.4",VA,Wholesale
JMAC Lending Inc.,5.750%,6.186%,"$3,017.168",0.12215,"$7,162.9",VA,Wholesale
Power TPO,5.750%,6.191%,"$3,017.168",-0.20999999999999375,"$7,384.5",VA,Wholesale
Union Home Mortgage,5.750%,6.271%,"$3,017.168",0.7489999999999952,"$11,567.2",VA,Wholesale
Guaranteed Rate,5.750%,6.320%,"$3,179.21",-0.149,"$17,905.76",FHA,Retail
First Federal Bank,5.750%,5.864%,"$2,921",0,"$6,256",VA,Retail
Bison State Bank,5.750%,5.864%,"$2,921",0,"$6,256",VA,Retail
PenFed Credit Union,5.750%,5.951%,"$2,921",0.75,"$11,005",VA,Retail
"Reliant Home Funding, Inc.",5.750%,5.987%,"$2,921",0.95,"$13,006",VA,Retail
"Reliant Home Funding, Inc.",5.750%,7.010%,"$2,921",0.549,"$13,501",FHA,Retail
PenFed Credit Union,5.750%,5.937%,"$3,514",1.125,"$7,626",Conventional,Retail
"Reliant Home Funding, Inc.",5.750%,5.932%,"$2,921",1.595,"$9,978",Conventional,Retail
"Tomo Mortgage, LLC.",5.750%,7.087%,"$2,921",1.841,"$17,973",FHA,Retail
Bison State Bank,5.750%,5.976%,"$2,921",2.476,"$12,392",Conventional,Retail
"Mutual of Omaha Mortgage, Inc.",5.750%,6.015%,"$2,921",2.759,"$14,509",Conventional,Retail
Sebonic,5.750%,6.130%,"$2,921",2.926,"$20,901",VA,Retail
Sebonic,5.750%,7.181%,"$2,921",2.926,"$23,403",FHA,Retail
Third Federal Savings & Loan,5.840%,5.840%,"$4,180",0,"$4,590.1",Conventional,Retail
Third Federal Savings & Loan,5.840%,5.840%,"$4,181",0,N/A,Conventional,Retail
Alliant Credit Union,5.875%,5.961%,"$2,960.65",0,"$4,629.62",VA,Retail
Sage Home Loans,5.875%,5.992%,"$2,997.65",0,"$6,256.25",VA,Retail
Mutual of Omaha Mortgage,5.875%,6.098%,"$2,960.65",1.917,"$11,832.59",Conventional,Retail
Us Bank,5.875%,6.644%,"$9,647",0.875,"$9,939.825",Conventional,Retail
Us Bank,5.875%,6.080%,"$3,549.74",0.773,"$7,159.735",Conventional,Retail
Chase Bank,5.875%,6.102%,"$4,433.984",0.8540000000000001,"$4,869.27",Conventional,Retail
Sebonic,5.875%,5.875%,"$4,190",0,"$4,590.1",Conventional,Retail
"Tomo Mortgage, LLC.",5.875%,5.990%,"$2,961",0,"$10,846.1",Conventional,Retail
Everstream Mortgage,5.875%,5.825%,"$4,189.778",-0.6126000000000005,"$-1,618",Conventional,Wholesale
Open Mortgage,5.875%,5.981%,"$4,189.778",-0.98,"$3,400.1",Conventional,Wholesale
Sun West Mtg Co Wholesale,5.875%,6.121%,"$4,189.778",-2.2239,"$7,810",Conventional,Wholesale
Provident Funding,5.875%,6.156%,"$4,189.778",-2.5,"$8,930.6",Conventional,Wholesale
NewRez LLC,5.875%,6.161%,"$4,189.778",-1.729,"$9,075.8",Conventional,Wholesale
"VIP Mortgage, Inc.",5.875%,6.193%,"$4,189.778",-1.8927400000000034,"$10,068",Conventional,Wholesale
BluePoint Mortgage,5.875%,6.195%,"$4,189.778",-2.006,"$10,151.9",Conventional,Wholesale
New Wave Lending Group,5.875%,6.196%,"$4,189.778",-2,"$10,181.9",Conventional,Wholesale
"Paramount Residential Mortgage Group, Inc.",5.875%,6.208%,"$4,189.778",-1.58,"$10,532.2",Conventional,Wholesale
Loan Factory Direct - Rocket,5.875%,6.209%,"$4,189.778",-1.5190000000000055,"$10,587.3",Conventional,Wholesale
Rocket Pro,5.875%,6.209%,"$4,189.778",-1.5190000000000055,"$10,587.3",Conventional,Wholesale
AD Mortgage,5.875%,6.216%,"$4,189.778",-1.8760000000000048,"$10,802.5",Conventional,Wholesale
"National Mortgage Service, Inc. (NMSI)",5.875%,6.216%,"$4,189.778",-1.875,"$10,807.5",Conventional,Wholesale
The Loan Store LLC,5.875%,6.217%,"$4,189.778",-2.070999999999998,"$10,827.5",Conventional,Wholesale
Loan United Wholesale,5.875%,6.218%,"$4,189.778",-1.7399999999999949,"$10,857.6",Conventional,Wholesale
Power TPO,5.875%,6.219%,"$4,189.778",-1.7909999999999968,"$10,877.5",Conventional,Wholesale
Click n' Close,5.875%,6.222%,"$4,189.778",-1.80759,"$10,994.7",Conventional,Wholesale
Plaza Home Mortgage Inc.,5.875%,6.226%,"$4,189.778",-1.68971,"$11,109.3",Conventional,Wholesale
AFR Wholesale,5.875%,6.236%,"$4,189.778",-1.5949999999999989,"$11,403.1",Conventional,Wholesale
Pennymac TPO,5.875%,6.247%,"$4,189.778",-1.692,"$11,773.4",Conventional,Wholesale
Loan Factory Direct - PennyMac,5.875%,6.247%,"$4,189.778",-1.692,"$11,773.4",Conventional,Wholesale
Eleven Mortgage,5.875%,6.249%,"$4,189.778",-0.6,"$11,813.5",Conventional,Wholesale
AmWest Funding Corp,5.875%,6.252%,"$4,189.778",-1.654,"$11,913.6",Conventional,Wholesale
Kind Lending,5.875%,6.258%,"$4,189.778",-1.41875,"$12,090.1",Conventional,Wholesale
Loan Factory Direct - Kind Lending,5.875%,6.258%,"$4,189.778",-1.41875,"$12,090.1",Conventional,Wholesale
Nations Direct Mortgage,5.875%,6.262%,"$4,189.778",-1.393,"$12,218.9",Conventional,Wholesale
CMG Financial,5.875%,6.263%,"$4,189.778",-1.285,"$12,259",Conventional,Wholesale
JMAC Lending Inc.,5.875%,6.269%,"$4,189.778",-1.54625,"$12,452.9",Conventional,Wholesale
NexBank,5.875%,6.294%,"$4,189.778",-1.5006099999999947,"$13,216.8",Conventional,Wholesale
Windsor Mortgage Solutions,5.875%,6.301%,"$4,189.778",-1.3530899999999946,"$13,419.7",Conventional,Wholesale
TPO GO,5.875%,6.309%,"$4,189.778",-1.0789999999999935,"$13,665.3",Conventional,Wholesale
Orion Lending,5.875%,6.317%,"$4,189.778",-1.399,"$13,940.6",Conventional,Wholesale
Union Home Mortgage,5.875%,6.360%,"$4,189.778",-0.9890000000000043,"$15,242",Conventional,Wholesale
HomeBridge Wholesale,5.875%,6.384%,"$4,189.778",-0.842,"$15,977.7",Conventional,Wholesale
CMG Financial,5.875%,6.486%,"$3,611.854",-1.658,"$-4,125",FHA,Wholesale
Sun West Mtg Co Wholesale,5.875%,6.582%,"$3,611.854",-0.84563,$-369.8,FHA,Wholesale
Everstream Mortgage,5.875%,6.588%,"$3,611.854",0.7430999999999983,$-147.1,FHA,Wholesale
Loan Factory Direct - PennyMac,5.875%,6.611%,"$3,611.854",-1.05,$753.7,FHA,Wholesale
Pennymac TPO,5.875%,6.611%,"$3,611.854",-1.05,$753.7,FHA,Wholesale
Loan United Wholesale,5.875%,6.619%,"$3,611.854",-1.6650000000000063,"$1,059.3",FHA,Wholesale
AFR Wholesale,5.875%,6.651%,"$3,611.854",-0.6677099999999996,"$2,282.9",FHA,Wholesale
NewRez LLC,5.875%,6.658%,"$3,611.854",-0.601,"$2,566.7",FHA,Wholesale
AD Mortgage,5.875%,6.665%,"$3,611.854",-0.8910000000000053,"$2,836.6",FHA,Wholesale
Loan Factory Direct - Kind Lending,5.875%,6.670%,"$3,611.854",-0.60365,"$3,026.8",FHA,Wholesale
Kind Lending,5.875%,6.670%,"$3,611.854",-0.60365,"$3,026.8",FHA,Wholesale
Eleven Mortgage,5.875%,6.675%,"$3,611.854",1.504,"$3,218.5",FHA,Wholesale
HomeBridge Wholesale,5.875%,6.675%,"$3,611.854",-0.763,"$3,233.9",FHA,Wholesale
NexBank,5.875%,6.677%,"$3,611.854",-0.7524899999999946,"$3,287.4",FHA,Wholesale
Open Mortgage,5.875%,6.680%,"$3,611.854",-0.85,"$3,427.3",FHA,Wholesale
Rocket Pro,5.875%,6.696%,"$3,611.854",-0.45600000000000307,"$4,033.4",FHA,Wholesale
"VIP Mortgage, Inc.",5.875%,6.701%,"$3,611.854",-0.6981899999999968,"$4,225.9",FHA,Wholesale
Plaza Home Mortgage Inc.,5.875%,6.727%,"$3,611.854",-0.74728,"$5,223.6",FHA,Wholesale
Jet Advantage Mortgage,5.875%,6.737%,"$3,611.854",0.17900000000000205,"$5,612.1",FHA,Wholesale
Forward Lending,5.875%,6.737%,"$3,611.854",0.17900000000000205,"$5,612.1",FHA,Wholesale
CMG Financial,5.875%,6.225%,"$3,666.88",-1.408,"$-2,170",VA,Wholesale
Everstream Mortgage,5.875%,6.280%,"$3,666.88",0.7292000000000058,$38.7,VA,Wholesale
Loan United Wholesale,5.875%,6.294%,"$3,666.88",-1.524000000000001,$590.9,VA,Wholesale
Pennymac TPO,5.875%,6.319%,"$3,666.88",-1.044,"$1,573.2",VA,Wholesale
Loan Factory Direct - PennyMac,5.875%,6.319%,"$3,666.88",-1.044,"$1,573.2",VA,Wholesale
Sun West Mtg Co Wholesale,5.875%,6.330%,"$3,666.88",-0.84563,"$2,030.1",VA,Wholesale
NewRez LLC,5.875%,6.336%,"$3,666.88",-0.611,"$2,245.3",VA,Wholesale
Loan Factory Direct - Rocket,5.875%,6.364%,"$3,666.88",-0.46399999999999864,"$3,356.9",VA,Wholesale
Rocket Pro,5.875%,6.364%,"$3,666.88",-0.46399999999999864,"$3,356.9",VA,Wholesale
NexBank,5.875%,6.368%,"$3,666.88",-0.7080100000000016,"$3,517.2",VA,Wholesale
Eleven Mortgage,5.875%,6.369%,"$3,666.88",1.5051,"$3,533.2",VA,Wholesale
Open Mortgage,5.875%,6.399%,"$3,666.88",-0.6,"$4,721.8",VA,Wholesale
Kind Lending,5.875%,6.402%,"$3,666.88",-0.30365,"$4,832.2",VA,Wholesale
Loan Factory Direct - Kind Lending,5.875%,6.402%,"$3,666.88",-0.30365,"$4,832.2",VA,Wholesale
Plaza Home Mortgage Inc.,5.875%,6.427%,"$3,666.88",-0.63728,"$5,821.7",VA,Wholesale
Jet Advantage Mortgage,5.875%,6.469%,"$3,666.88",0.534000000000006,"$7,482.7",VA,Wholesale
Forward Lending,5.875%,6.469%,"$3,666.88",0.534000000000006,"$7,482.7",VA,Wholesale
AFR Wholesale,5.875%,6.480%,"$3,666.88",0.32200000000000273,"$7,901.5",VA,Wholesale
The Loan Store LLC,5.875%,6.501%,"$3,666.88",0.125,"$8,728.7",VA,Wholesale
CMG Financial,5.875%,6.336%,"$3,012.453",-1.658,"$-4,125",FHA,Wholesale
Loan United Wholesale,5.875%,6.387%,"$3,012.453",-1.6650000000000063,"$-1,487",FHA,Wholesale
Sun West Mtg Co Wholesale,5.875%,6.409%,"$3,012.453",-0.84563,$-369.8,FHA,Wholesale
Everstream Mortgage,5.875%,6.413%,"$3,012.453",0.7430999999999983,$-147.1,FHA,Wholesale
"National Mortgage Service, Inc. (NMSI)",5.875%,6.418%,"$3,012.453",-1.5,$117.1,FHA,Wholesale
AmWest Funding Corp,5.875%,6.420%,"$3,012.453",-1.363,$178.3,FHA,Wholesale
AD Mortgage,5.875%,6.420%,"$3,012.453",-1.4080000000000013,$203.7,FHA,Wholesale
HomeBridge Wholesale,5.875%,6.430%,"$3,012.453",-0.763,$687.6,FHA,Wholesale
Loan Factory Direct - PennyMac,5.875%,6.431%,"$3,012.453",-1.05,$753.7,FHA,Wholesale
Pennymac TPO,5.875%,6.431%,"$3,012.453",-1.05,$753.7,FHA,Wholesale
AFR Wholesale,5.875%,6.438%,"$3,012.453",-0.8299999999999983,"$1,120.4",FHA,Wholesale
Loan Factory Direct - Kind Lending,5.875%,6.439%,"$3,012.453",-0.96675,"$1,177.6",FHA,Wholesale
Kind Lending,5.875%,6.439%,"$3,012.453",-0.96675,"$1,177.6",FHA,Wholesale
Power TPO,5.875%,6.441%,"$3,012.453",-0.8960000000000008,"$1,283.3",FHA,Wholesale
NexBank,5.875%,6.449%,"$3,012.453",-1.0635599999999954,"$1,703.2",FHA,Wholesale
Open Mortgage,5.875%,6.458%,"$3,012.453",-1.1,"$2,154.2",FHA,Wholesale
Rocket Pro,5.875%,6.461%,"$3,012.453",-0.8020000000000067,"$2,271.4",FHA,Wholesale
The Loan Store LLC,5.875%,6.463%,"$3,012.453",-1.108000000000004,"$2,368.1",FHA,Wholesale
Eleven Mortgage,5.875%,6.466%,"$3,012.453",-1.10125,"$2,529.8",FHA,Wholesale
NewRez LLC,5.875%,6.466%,"$3,012.453",-0.601,"$2,566.7",FHA,Wholesale
New Wave Lending Group,5.875%,6.468%,"$3,012.453",-1,"$2,663.4",FHA,Wholesale
Plaza Home Mortgage Inc.,5.875%,6.469%,"$3,012.453",-0.74728,"$2,677.3",FHA,Wholesale
Windsor Mortgage Solutions,5.875%,6.470%,"$3,012.453",-1.1068800000000039,"$2,755.7",FHA,Wholesale
Jet Advantage Mortgage,5.875%,6.474%,"$3,012.453",-0.34600000000000364,"$2,938.5",FHA,Wholesale
Forward Lending,5.875%,6.474%,"$3,012.453",-0.34600000000000364,"$2,938.5",FHA,Wholesale
TPO GO,5.875%,6.474%,"$3,012.453",-0.367999999999995,"$2,953.7",FHA,Wholesale
Orion Lending,5.875%,6.481%,"$3,012.453",-0.124,"$3,305.1",FHA,Wholesale
JMAC Lending Inc.,5.875%,6.485%,"$3,012.453",-0.64739,"$3,504.3",FHA,Wholesale
Click n' Close,5.875%,6.488%,"$3,012.453",-0.8007,"$3,653",FHA,Wholesale
"Paramount Residential Mortgage Group, Inc.",5.875%,6.489%,"$3,012.453",-0.573,"$3,692.2",FHA,Wholesale
"VIP Mortgage, Inc.",5.875%,6.492%,"$3,012.453",-0.7710000000000008,"$3,855.1",FHA,Wholesale
Union Home Mortgage,5.875%,6.644%,"$3,012.453",0.7489999999999952,"$11,443",FHA,Wholesale
CMG Financial,5.875%,6.138%,"$3,058.348",-1.408,"$-2,170",VA,Wholesale
Everstream Mortgage,5.875%,6.179%,"$3,058.348",0.7292000000000058,$38.7,VA,Wholesale
Loan United Wholesale,5.875%,6.189%,"$3,058.348",-1.524000000000001,$590.9,VA,Wholesale
Pennymac TPO,5.875%,6.208%,"$3,058.348",-1.044,"$1,573.2",VA,Wholesale
Loan Factory Direct - PennyMac,5.875%,6.208%,"$3,058.348",-1.044,"$1,573.2",VA,Wholesale
AmWest Funding Corp,5.875%,6.210%,"$3,058.348",-1.063,"$1,681.8",VA,Wholesale
Sun West Mtg Co Wholesale,5.875%,6.217%,"$3,058.348",-0.84563,"$2,030.1",VA,Wholesale
NexBank,5.875%,6.217%,"$3,058.348",-0.9903800000000018,"$2,057.3",VA,Wholesale
NewRez LLC,5.875%,6.221%,"$3,058.348",-0.611,"$2,245.3",VA,Wholesale
"VIP Mortgage, Inc.",5.875%,6.231%,"$3,058.348",-0.8509999999999991,"$2,803.7",VA,Wholesale
AFR Wholesale,5.875%,6.233%,"$3,058.348",-0.6500000000000057,"$2,876.1",VA,Wholesale
Eleven Mortgage,5.875%,6.233%,"$3,058.348",-0.98,"$2,886.4",VA,Wholesale
Loan Factory Direct - Rocket,5.875%,6.235%,"$3,058.348",-0.5360000000000014,"$2,984.7",VA,Wholesale
Rocket Pro,5.875%,6.235%,"$3,058.348",-0.5360000000000014,"$2,984.7",VA,Wholesale
TPO GO,5.875%,6.239%,"$3,058.348",-0.31799999999999784,"$3,207",VA,Wholesale
Kind Lending,5.875%,6.239%,"$3,058.348",-0.61365,"$3,229.4",VA,Wholesale
Loan Factory Direct - Kind Lending,5.875%,6.239%,"$3,058.348",-0.61365,"$3,229.4",VA,Wholesale
Plaza Home Mortgage Inc.,5.875%,6.240%,"$3,058.348",-0.63728,"$3,236.6",VA,Wholesale
The Loan Store LLC,5.875%,6.240%,"$3,058.348",-0.929000000000002,"$3,279.3",VA,Wholesale
Windsor Mortgage Solutions,5.875%,6.243%,"$3,058.348",-0.7268700000000052,"$3,419.7",VA,Wholesale
Open Mortgage,5.875%,6.243%,"$3,058.348",-0.85,"$3,429.3",VA,Wholesale
"Paramount Residential Mortgage Group, Inc.",5.875%,6.247%,"$3,058.348",-0.591,"$3,605",VA,Wholesale
Power TPO,5.875%,6.251%,"$3,058.348",-0.8960000000000008,"$3,837.7",VA,Wholesale
Click n' Close,5.875%,6.253%,"$3,058.348",-0.7408,"$3,968",VA,Wholesale
Orion Lending,5.875%,6.258%,"$3,058.348",-0.074,"$4,210",VA,Wholesale
Jet Advantage Mortgage,5.875%,6.259%,"$3,058.348",-0.09099999999999397,"$4,251.3",VA,Wholesale
Forward Lending,5.875%,6.259%,"$3,058.348",-0.09099999999999397,"$4,251.3",VA,Wholesale
JMAC Lending Inc.,5.875%,6.271%,"$3,058.348",-0.32239,"$4,864.6",VA,Wholesale
Union Home Mortgage,5.875%,6.400%,"$3,058.348",0.7489999999999952,"$11,567.2",VA,Wholesale
